,,,,,,,,,,,,,,,,,
GRAMMAIRES,,,,,,,,,,,,,,,,,
BBB Read Me,,,,,,,,,,,,,,,,,
6,Il/Elle,Pronom personnel sujet,Invariable,Al,Invariable,Al,al,Al,al,Al,al,Al,al,Al,al,Al,al
7,Humain/Humaine,Substantif,ain/aine,Human,an,Yumane,jy.man,Human,y.mɑ̃,Humane,y.man,Humane,y.man,Humane,y.man,Human,y.mɑ̃
8,Fort/Forte,Substantif,ort/orte,Fortx,ortx,Fortx,fɔʁks,Fortix,fɔʁ.tiks,Fortèx,fɔʁ.tɛks,Fortx,fɔʁks,Fortx,fɔʁks,Fortx,fɔʁks
9,Cet/Cette,Déterminant démonstratif,Invariable,Çu ,Invariable,Çou,su,Çu,sy,Çu,sy,Çu,sy,Çou,su,Çou,su
,,,,,,p1_pc_systeme-al_da,,p2_sc_systeme-al_da,,p3_mc_systeme-al_da,,p4_eb_systeme-al_da,,p5_zm_systeme-al_da,,p6_nc_systeme-al_da,
Exercice de prononciation 1,,,,,,,,,,,,,,,,,
1,Un/Une,Article indéfini,Invariable,An,Invariable,Ane,an,Ane,an,Ane,an,Ane,an,Ane,an,An ,ɑ̃
2,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissièr,ièr,Pâtissière,pa.ti.sjɛʁ,Pâtissière,pa.ti.sjɛʁ,Patissier,pa.ti.sje,Pâtissière,pa.ti.sjɛʁ,Pâtissière,pa.ti.sjɛʁ,Pâtissière,pa.ti.sjɛʁ
3,Tapissier/Tapissière,Substantif,ier/ière,Tapissièr,ièr,Tapissière,ta.ti.sjɛʁ,Tapissière,ta.ti.sjɛʁ,Tapissier ,ta.ti.sje,Tapissière,ta.ti.sjɛʁ,Tapissière,ta.ti.sjɛʁ,Tapissière,ta.ti.sjɛʁ
4,La/Le,Pronom personnel COD,Invariable,Lu,Invariable,Lu,ly,Lu,ly,Lu,ly,Lu,ly,Lu,ly,Lu,ly
,,,,,,p1_pc_systeme-al_ep1,,p2_sc_systeme-al_ep1,,p3_mc_systeme-al_ep1,,p4_eb_systeme-al_ep1,,p5_zm_systeme-al_ep1,,p6_nc_systeme-al_ep1,
Exercice de prononciation 2,,,,,,,,,,,,,,,,,
1,La/Le,Pronom personnel COD,Invariable,Lu,Invariable,Lu,ly,Lu,ly,Lou,lu,Lu,ly,Lu,ly,Lu,ly
2,Chef/Cheffe,Substantif,ef/effe,Chaf,af,Chaf,ʃaf,Chaf,ʃaf,Chaf,ʃaf,Chaf,ʃaf,Chaf,ʃaf,Chaf,ʃaf
3,Cuisinier/Cuisinière,Substantif,ier/ière,Cuisinièr,ièr,Cuisinier,kɥi.zi.nje,Cuisinière ,kɥi.zi.njɛʁ,Cuisinier,kɥi.zi.nje,Cuisinière ,kɥi.zi.njɛʁ,Cuisinière ,kɥi.zi.njɛʁ,Cuisinière ,kɥi.zi.njɛʁ
4,Serveur/Serveuse,Substantif,eur/euse,Servaire,aire,Servère,sɛʁ.vɛʁ,Servère,sɛʁ.vɛʁ,Servère,sɛʁ.vɛʁ,Servère,sɛʁ.vɛʁ,Servère,sɛʁ.vɛʁ,Servère,sɛʁ.vɛʁ
5,Maitre/Maitresse,Substantif,e/esse,Maitras,as,Mètrasse,mɛ.tʁas,Mètrasse,mɛ.tʁas,Mètrasse,mɛ.tʁas,Mètrasse,mɛ.tʁas,Mètrasse,mɛ.tʁas,Mètrasse,mɛ.tʁas
6,Un/Une,Article indéfini,Invariable,An,Invariable,Ane,an,Ane,an,An,an,Ane,an,Ane,an,An ,ɑ̃
7,Client/Cliente,Substantif,ent/ente,Clienx,enx,Clien,kli.jɛ̃/,Clienx,kli.jɛ̃ks,Clienx,kli.jɛ̃ks,Clienx,kli.jɛ̃ks,Clienx,kli.jɛ̃ks,Clienx,kli.jɛ̃ks
8,Accompagné/Accompagnée,Substantif,é/ée,Accompagnae,ae,Accompagnaeu,a.kɔ̃.pa.ɲa.ø,Accompagnaé,a.kɔ̃.pa.ɲa.e,Accompagnaé,a.kɔ̃.pa.ɲa.e,Accompagnaeu,a.kɔ̃.pa.ɲa.ø,Accompagnaé,a.kɔ̃.pa.ɲa.e,Accompagnaeu,a.kɔ̃.pa.ɲa.e.ø
9,Sa/Son,Déterminant possessif,Invariable,Su,Invariable,Su,sy,Sune,syn,Su,sy,Su,sy,Sune,syn,Su,sy
10,Amant/Amante,Substantif,ant/ante,Amanx,anx,Armax,aʁ.maks,Amanx,a.mɑ̃ks,Amanx,a.mɑ̃ks,Amanx,a.mɑ̃ks,Amanx,a.mɑ̃ks,Amanx,a.mɑ̃ks
11,Ancien/Ancienne,Substantif,en/enne,Ancian,an,Anciane,ɑ̃.sjan,Anciane,ɑ̃.sjan,Ancian,ɑ̃.sjɑ̃,Anciane,ɑ̃.sjan,Anciane,ɑ̃.sjan,Ancian,ɑ̃.sjɑ̃
12,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissièr,ièr,Pâtissier,pa.ti.sje,Pâtissière,pa.ti.sjɛʁ,Pâtissier,pa.ti.sjɛʁ,Pâtissière,pa.ti.sjɛʁ,Pâtissière,pa.ti.sjɛʁ,Pâtissière,pa.ti.sjɛʁ
13,Reconverti/Reconvertie,Substantif,i/ie,Reconvertix,ix,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks
,,,,,,p1_pc_systeme-al_ep2,,p2_sc_systeme-al_ep2,,p3_mc_systeme-al_ep2,,p4_eb_systeme-al_ep2,,p5_zm_systeme-al_ep2,,p6_nc_systeme-al_ep2,
