,,,,,,,,,,,,,,,
TYPOGRAPHIES,,,,,,,,,,,,,,,
BBB Open Sans,,,,,,,,,,,,,,,
4,Général/Générale,Substantif,al/ale ,Généraḽẹ,aḽẹ,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal
5,Lui/Elle,Pronom personnel COI,Invariable,Eḷḽui,Invariable,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi
6,Il/Elle,Pronom personnel sujet,Invariable,I̭ẹl,Invariable,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl
7,Humain/Humaine,Substantif,ain/aine,Huma̭inẹ ,a̭inẹ ,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn,Humaineu,y.mɛn.ø,Humaine,y.mɛn
8,Fort/Forte,Substantif,ort/orte,Forṱẹ ,orṱẹ ,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt
9,Cet/Cette,Déterminant démonstratif,Invariable,Ceṱtẹ ,Invariable,Cette,sɛt,Cette,sɛt,Cette,sɛt,Cetteu,sɛt.ø,Cetteu,sɛt.ø
,,,,,,p1_pc_adelphe_diacritique_da,,p2_sc_adelphe_diacritique_da,,p4_eb_adelphe_diacritique_da,,p5_zm_adelphe_diacritique_da,,p6_nc_adelphe_diacritique_da,
Exercice de prononciation 1,,,,,,,,,,,,,,,
1,Un/Une,Article indéfini,Invariable,Uṋẹ,Invariable,Une,yn,Une,yn,Une,yn,Un/une,œ̃/yn,Une,yn
2,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissier̭ẹ̀re,ier̭ẹ̀re,Pâtissière ,pa.ti.sjɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissière ,pa.ti.sjɛʁ,Pâtissiéère ,pa.ti.sje.ɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ
