,,,,,,,,,,,,,,,
TYPOGRAPHIES,,,,,,,,,,,,,,,
BBB Open Sans,,,,,,,,,,,,,,,
5,Maitre/Maitresse,Substantif,e/esse,Maîtress·e,ess·e,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs
6,Un/Une,Article indéfini,Invariable,Un·e,Invariable,Une,yn,Une,yn,Une,yn,Un/Une,œ̃/yn,Une,yn
7,Client/Cliente,Substantif,ent/ente,Client·e,ent·e,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t
8,Accompagné/Accompagnée,Substantif,é/ée,Accompagné·e,é·e,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagnéeu,a.kɔ̃.pa.ɲe.ø
9,Sa/Son,Déterminant possessif,Invariable,Saon,Invariable,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃
10,Amant/Amante,Substantif,ant/ante,Amant·e,ant·e,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amanteu,a.mɑ̃t.ø,Amante,a.mɑ̃t
11,Ancien/Ancienne,Substantif,en/enne,Ancienn·e,enn·e,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn
12,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissier·e,ier·e,Pâtissière,pa.ti.sjɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissière,pa.ti.sjɛʁ,Pâtissièreu ,pa.ti.sjɛʁ.ø,Pâtissièreu ,pa.ti.sjɛʁ.ø
13,Reconverti/Reconvertie,Substantif,i/ie,Reconverti·e,i·e,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti
,,,,,,p1_pc_bbb-readme_epsilon_ep2,,p2_sc_bbb-readme_epsilon_ep2,,p4_eb_bbb-readme_epsilon_ep2,,p5_zm_bbb-readme_epsilon_ep2,,p6_nc_bbb-readme_epsilon_ep2,
Adelphe - Fructidor,,,,,,,,,,,,,,,
Epsilon (mauvais affichage),,,,,,P1 - PC,,P2 - SC,,P4 - EB,,P5 – ZM,,P6 – NC,
,Mot original,Déterminant,Terminaison,Mot post-binaire,Terminaison,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API
"Dorothy Allison, Bastard out of Carolina",,,,,,,,,,,,,,,
1,Mon/Ma,Déterminant possessif,Invariable,Maon,Invariable,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃
2,Oncle/Tante,Titre,Invariable,Tanclε,Invariable,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancleu,tɑ̃kl.ø
3,Un/Une,Article indéfini,Invariable,Unε,Invariable,Une,yn,Une,yn,Une,yn,Une,yn,Uneu,yn.ø
4,Général/Générale,Substantif,al/ale ,Généralε,alε,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Généraleu,ʒe.ne.ʁal.ø
5,Lui/Elle,Pronom personnel COI,Invariable,󱠀llui,Invariable,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi
6,Il/Elle,Pronom personnel sujet,Invariable,iεl,Invariable,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl
7,Humain/Humaine,Substantif,ain/aine,Humainε,ainε,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn,Humaineu,y.mɛn.ø
8,Fort/Forte,Substantif,ort/orte,Fortε,ortε,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forteu,fɔʁt.ø
9,Cet/Cette,Déterminant démonstratif,Invariable,Cettε,Invariable,Cette,sɛt,Cette,sɛt,Cette,sɛt,Cette,sɛt,Cetteu,sɛt.ø
,,,,,,p1_pc_adelphe_epsilon_da,,p2_sc_adelphe_epsilon_da,,p4_eb_adelphe_epsilon_da,,p5_zm_adelphe_epsilon_da,,p6_nc_adelphe_epsilon_da,
Exercice de prononciation 1,,,,,,,,,,,,,,,
1,Un/Une,Article indéfini,Invariable,Unε,Invariable,Une,yn,Une,yn,Une,yn,Unn,œ̃n,Une,yn
2,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissierε,ierε,Pâtissière ,pa.ti.sjɛʁ,Pâtissière ,pa.ti.sjɛʁ,Pâtissièreu ,pa.ti.sjɛʁ.ø,Pâtissière ,pa.ti.sjɛʁ,Pâtissièreu ,pa.ti.sjɛʁ.ø
3,Tapissier/Tapissière,Substantif,ier/ière,Tapissierε,ierε,Tapissière,ta.ti.sjɛʁ,Tapissière,ta.ti.sjɛʁ,Tapissièreu,ta.ti.sjɛʁ.ø,Tapissière,ta.ti.sjɛʁ,Tapissièreu,ta.ti.sjɛʁ.ø
4,La/Le,Pronom personnel COD,Invariable,Laε,Invariable,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø
,,,,,,p1_pc_adelphe_epsilon_ep1,,p2_sc_adelphe_epsilon_ep1,,p4_eb_adelphe_epsilon_ep1,,p5_zm_adelphe_epsilon_ep1,,p6_nc_adelphe_epsilon_ep1,
Exercice de prononciation 2,,,,,,,,,,,,,,,
1,La/Le,Pronom personnel COD,Invariable,Laε,Invariable,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø
2,Chef/Cheffe,Substantif,ef/effe,Cheffε,effε,Chef,ʃɛf,Chef,ʃɛf,Cheffeu,ʃɛf.ø,Cheffeu,ʃɛf.ø,Cheffeu,ʃɛf.ø
3,Cuisinier/Cuisinière,Substantif,ier/ière,Cuisinierε,ierε,Cuisinière,kɥi.zi.njɛʁ,Cuisinière,kɥi.zi.njɛʁ,Cuisinièreu,kɥi.zi.njɛʁ.ø,Cuisinièreu,kɥi.zi.njɛʁ.ø,Cuisinièreu,kɥi.zi.njɛʁ.ø
4,Serveur/Serveuse,Substantif,eur/euse,Serveureusε,eureusε,Serveuse,sɛʁ.vøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz
5,Maitre/Maitresse,Substantif,e/esse,Maîtressε,essε,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs
6,Un/Une,Article indéfini,Invariable,Unε,Invariable,Une,yn,Une,yn,Une,yn,Unn,œ̃n,Une,yn
7,Client/Cliente,Substantif,ent/ente,Clientε,entε,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Clienteu,kli.jɑ̃t.ø
8,Accompagné/Accompagnée,Substantif,é/ée,Accompagnéε,éε,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagnéeu,a.kɔ̃.pa.ɲe.ø
9,Sa/Son,Déterminant possessif,Invariable,Saon,Invariable,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃
10,Amant/Amante,Substantif,ant/ante,Amantε,antε,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amanteu,a.mɑ̃t.ø
11,Ancien/Ancienne,Substantif,en/enne,Anciennε,ennε,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienneu,ɑ̃.sjɛn.ø
12,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissierε,ierε,Pâtissière,pa.ti.sjɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissière,pa.ti.sjɛʁ,Pâtissière,pa.ti.sjɛʁ,Pâtissièreu ,pa.ti.sjɛʁ.ø
13,Reconverti/Reconvertie,Substantif,i/ie,Reconvertiε,iε,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti
,,,,,,p1_pc_adelphe_epsilon_ep2,,p2_sc_adelphe_epsilon_ep2,,p4_eb_adelphe_epsilon_ep2,,p5_zm_adelphe_epsilon_ep2,,p6_nc_adelphe_epsilon_ep2,
BBB Herthey Futural,,,,,,,,,,,,,,,
